recordId,academicYear,title,type,status,ucas,requirements,summary,info,entryRequirementsUrl,url,lastReviewed
2026-NN34-UG,2026,Accounting and Finance,Undergraduate,Vacancies,NN34,64 UCAS tariff points,BSc (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/accountingandfinance/,2026-06-22
2026-accountingandfinance-FY,2026,Accounting and Finance with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/accountingandfinance/#foundationyear,2026-06-22
2026-N4G3-UG,2026,Accounting with Business Analytics,Undergraduate,Vacancies,N4G3,64 UCAS tariff points,BSc (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/accountingwithbusinessanalytics/,2026-06-22
2026-accountingwithbusinessanalytics-FY,2026,Accounting with Business Analytics with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/accountingwithbusinessanalytics/#foundationyear,2026-06-22
2026-F512-UG,2026,Astrophysics with Integrated Master's,Undergraduate,Vacancies,F512,64 UCAS tariff points,MSci,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/astrophysicswithintegratedmasters/,2026-06-22
2026-astrophysicswithintegratedmasters-FY,2026,Astrophysics with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/astrophysicswithintegratedmasters/#foundationyear,2026-06-22
2026-N320-UG,2026,Banking and Finance,Undergraduate,Vacancies,N320,64 UCAS tariff points,BSc (Hons),Most undergraduate courses require GCSE English Language at grade 4/C or equivalent. Some courses also require GCSE Mathematics at grade 4/C or equivalent.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/bankingandfinance/,2026-06-22
2026-bankingandfinance-FY,2026,Banking and Finance with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/bankingandfinance/#foundationyear,2026-06-22
2026-C701-UG,2026,Biochemistry,Undergraduate,Vacancies,C701,64 UCAS tariff points,BSc (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/biochemistry/,2026-06-22
2026-biochemistry-FY,2026,Biochemistry with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/biochemistry/#foundationyear,2026-06-22
2026-C702-UG,2026,Biochemistry with Integrated Master's,Undergraduate,Vacancies,C702,64 UCAS tariff points,MSci,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/biochemistrywithintegratedmasters/,2026-06-22
2026-biochemistrywithintegratedmasters-FY,2026,Biochemistry with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/biochemistrywithintegratedmasters/#foundationyear,2026-06-22
2026-B7C1-UG,2026,Biochemistry with Neuroscience,Undergraduate,Vacancies,B7C1,64 UCAS tariff points,BSc (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/biochemistrywithneuroscience/,2026-06-22
2026-biochemistrywithneuroscience-FY,2026,Biochemistry with Neuroscience with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/biochemistrywithneuroscience/#foundationyear,2026-06-22
2026-BC71-UG,2026,Biochemistry with Neuroscience with Integrated Master's,Undergraduate,Vacancies,BC71,64 UCAS tariff points,MSci,This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/biochemistrywithneurosciencewithintegratedmasters/,2026-06-22
2026-biochemistrywithneurosciencewithintegratedmasters-FY,2026,Biochemistry with Neuroscience with Integrated Master's with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/biochemistrywithneurosciencewithintegratedmasters/#foundationyear,2026-06-22
2026-C110-UG,2026,Bioengineering (Regenerative Medicine),Undergraduate,Vacancies,C110,64 UCAS tariff points,BSc (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/bioengineeringregenerativemedicine/,2026-06-22
2026-bioengineeringregenerativemedicine-FY,2026,Bioengineering (Regenerative Medicine) with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/bioengineeringregenerativemedicine/#foundationyear,2026-06-22
2026-C102-UG,2026,Biology,Undergraduate,Vacancies,C102,64 UCAS tariff points,BSc (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/biology/,2026-06-22
2026-biology-FY,2026,Biology with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/biology/#foundationyear,2026-06-22
2026-C900-UG,2026,Biomedical Science,Undergraduate,Vacancies,C900,64 UCAS tariff points,BSc (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/biomedicalscience/,2026-06-22
2026-biomedicalscience-FY,2026,Biomedical Science with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/biomedicalscience/#foundationyear,2026-06-22
2026-D300-UG,2026,Bioveterinary Science,Undergraduate,Vacancies,D300,64 UCAS tariff points,BSc (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/bioveterinaryscience/,2026-06-22
2026-bioveterinaryscience-FY,2026,Bioveterinary Science with Foundation Year,Foundation year,Vacancies,,See entry requirements,Foundation Year route,Foundation Year requirements vary by course. View the full course details or call 01782 491120 to discuss your qualifications.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/bioveterinaryscience/#foundationyear,2026-06-22
2026-bioveterinaryscience-UG,2026,Bioveterinary Science with Integrated Master's,Undergraduate,Vacancies,,64 UCAS tariff points,MSci (Hons),This course has additional subject-specific requirements. View the full course details or contact Admissions before applying.,https://www.keele.ac.uk/clearing/entry-requirements/,https://www.keele.ac.uk/study/undergraduate-2026/undergraduatecourses/bioveterinaryscience/,2026-06-22
